# conversions=2000 seed=20260906 vref=1.0
       n_bits      noise_lsb       noise_uv        rms_err        p_wrong        p_gross        max_err       enob_rms
            8       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       8.000000
            8       0.125000     488.281250       0.319374       0.102000       0.000000       1.000000       7.423422
            8       0.250000     976.562500       0.446094       0.199000       0.000000       1.000000       7.119783
            8       0.500000    1953.125000       0.613188       0.355000       0.007000       2.000000       6.768712
            8       1.000000    3906.250000       0.955772       0.572000       0.105500       3.000000       6.209807
            8       2.000000    7812.500000       1.604369       0.738500       0.342500       6.000000       5.502529
           10       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      10.000000
           10       0.125000     122.070312       0.310644       0.096500       0.000000       1.000000       9.445153
           10       0.250000     244.140625       0.446094       0.199000       0.000000       1.000000       9.119783
           10       0.500000     488.281250       0.625700       0.375000       0.005500       2.000000       8.744772
           10       1.000000     976.562500       0.933542       0.568000       0.092000       3.000000       8.240858
           10       2.000000    1953.125000       1.654539       0.749500       0.341500       6.000000       7.459458
           12       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      12.000000
           12       0.125000      30.517578       0.321714       0.103500       0.000000       1.000000      11.417607
           12       0.250000      61.035156       0.440454       0.194000       0.000000       1.000000      11.132672
           12       0.500000     122.070312       0.626099       0.375500       0.005500       2.000000      10.744013
           12       1.000000     244.140625       0.951578       0.579000       0.100500       3.000000      10.215619
           12       2.000000     488.281250       1.634013       0.740500       0.342000       6.000000       9.476929
