# trials=2000 seed=20260901 gradient=0.0
       n_bits      sigma_rel  sigma_dnl_msb       analytic      p_missing        max_inl
            8       0.005000       0.079542       0.079844       0.000000       0.062601
            8       0.010000       0.162103       0.159687       0.000000       0.124779
            8       0.015000       0.239582       0.239531       0.000000       0.187573
            8       0.020000       0.322677       0.319374       0.000500       0.253747
            8       0.030000       0.480814       0.479062       0.022000       0.377701
            8       0.040000       0.642515       0.638749       0.072000       0.499425
           10       0.005000       0.156906       0.159922       0.000000       0.128494
           10       0.010000       0.318319       0.319844       0.000500       0.258771
           10       0.015000       0.479363       0.479766       0.018500       0.392003
           10       0.020000       0.626431       0.639687       0.077500       0.514111
           10       0.030000       0.943393       0.959531       0.228500       0.769027
           10       0.040000       1.267816       1.279375       0.367000       1.037482
